timestamp_s,yaw_deg,pitch_deg,roll_deg
0.637939,0.041530,-1.127442,0.184124
0.638934,0.042545,-1.127800,0.184986
0.639929,0.043559,-1.128308,0.185706
0.640927,0.044576,-1.128828,0.186500
0.641918,0.044596,-1.129341,0.187376
0.642914,0.044615,-1.129356,0.188397
0.643909,0.043620,-1.130778,0.188512
0.644904,0.043620,-1.132553,0.188820
0.645900,0.042604,-1.133399,0.188437
0.646895,0.041590,-1.134879,0.188269
0.647889,0.040576,-1.134445,0.188315
0.648885,0.039541,-1.135071,0.187434
0.649880,0.039521,-1.134767,0.187386
0.650875,0.038507,-1.133472,0.187429
0.651870,0.038507,-1.134022,0.188159
0.652866,0.039503,-1.134639,0.188797
0.653862,0.040498,-1.135674,0.189503
0.654855,0.041491,-1.137199,0.189923
0.655850,0.042485,-1.138090,0.190414
