#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
34968401810,-6.738661956787109375e+01,3.628680706024169922e+00,-2.113741111755371094e+01,9.991196931419261684e-01,4.249956180342595070e-03,-4.170281911833664812e-02,-1.628350709043434406e-03
35068501910,-6.960451507568359375e+01,4.004757404327392578e+00,-2.154305458068847656e+01,9.991043906782407502e-01,4.501287799362018935e-03,-4.203775065887458556e-02,-1.726978619061033662e-03
35168602011,-7.186408233642578125e+01,4.375276088714599609e+00,-2.196195793151855469e+01,9.990895068243308419e-01,5.247914528697696090e-03,-4.229758543431301476e-02,-1.879098997374938334e-03
35268702111,-7.417263793945312500e+01,4.738618850708007812e+00,-2.239002990722656250e+01,9.990835407503052545e-01,5.550648341225784647e-03,-4.239646557346427036e-02,-1.951566474178967206e-03
35368802211,-7.653683471679687500e+01,5.101797580718994141e+00,-2.281144714355468750e+01,9.991154538260074158e-01,4.652248821936858306e-03,-4.173808240542353082e-02,-2.144524205570970052e-03
35468902311,-7.895264434814453125e+01,5.466263294219970703e+00,-2.323066902160644531e+01,9.991171475105973254e-01,4.487705934333385653e-03,-4.173171568304669121e-02,-1.802762292602743755e-03
35569002411,-8.144903564453125000e+01,5.867963790893554688e+00,-2.368938255310058594e+01,9.991792569443681549e-01,-1.092118742121455212e-03,-4.043709297719645657e-02,-2.112174307924483737e-03
35669102511,-8.395987701416015625e+01,6.234765052795410156e+00,-2.412370872497558594e+01,9.991781215941105687e-01,-1.212525470571553183e-03,-4.046022318768366377e-02,-2.140432024370327643e-03
35769202611,-8.652207183837890625e+01,6.599458217620849609e+00,-2.456000328063964844e+01,9.991769023694230256e-01,-1.332707833647281013e-03,-4.048503997108199998e-02,-2.168686195517889170e-03
35869302711,-8.914078521728515625e+01,6.967285156250000000e+00,-2.499031639099121094e+01,9.991760699981823146e-01,-1.448828502417346320e-03,-4.050008277701836606e-02,-2.196664292267991574e-03
35969402811,-9.181236267089843750e+01,7.332303047180175781e+00,-2.543313407897949219e+01,9.991748238431827911e-01,-1.568988206387225562e-03,-4.052480030109525261e-02,-2.224912247511213245e-03
36069502911,-9.456311035156250000e+01,7.718780994415283203e+00,-2.593697929382324219e+01,9.992535521599211767e-01,-1.091031453454284440e-03,-3.854035140795981224e-02,-2.406129568072569360e-03
36169603012,-9.735974121093750000e+01,8.085352897644042969e+00,-2.647587966918945312e+01,9.992825277058914324e-01,-1.638030789618885586e-04,-3.778762328052373554e-02,-2.549218916671860610e-03
36269703112,-1.001973342895507812e+02,8.462908744812011719e+00,-2.702734375000000000e+01,9.992350977995846373e-01,-1.497850410425743961e-03,-3.901948051187442701e-02,-2.110902694557271076e-03
36369803212,-1.030811004638671875e+02,8.833497047424316406e+00,-2.759515380859375000e+01,9.992260452712242724e-01,-1.692332595281370589e-03,-3.925739785119478076e-02,-1.817464159070533193e-03
36469903312,-1.060142822265625000e+02,9.212511062622070312e+00,-2.818695259094238281e+01,9.992198469677983086e-01,-2.063896874695485707e-03,-3.940571657485665569e-02,-1.620881415315127789e-03
36570003412,-1.089962463378906250e+02,9.596983909606933594e+00,-2.879954338073730469e+01,9.992105774716297795e-01,-3.036052630539028997e-03,-3.958910257384753301e-02,-1.306602707008119825e-03
36670103512,-1.120357360839843750e+02,9.969132423400878906e+00,-2.943079757690429688e+01,9.992141656058374233e-01,-2.420981486659011268e-03,-3.953050932009578855e-02,-1.590262294370262380e-03
36770203612,-1.151214065551757812e+02,1.030638790130615234e+01,-3.006024932861328125e+01,9.991491845181134090e-01,-3.530768844050269015e-03,-4.107110497634571672e-02,1.266919169042041897e-03
36870303712,-1.182502899169921875e+02,1.072017383575439453e+01,-3.072444534301757812e+01,9.990975669517437874e-01,-7.393628220260161851e-03,-4.178351085548167448e-02,1.877283525857006800e-03
36970403812,-1.214427413940429688e+02,1.105499267578125000e+01,-3.139904785156250000e+01,9.990985712870052993e-01,-7.161126739389639222e-03,-4.179984215366228106e-02,1.880508446207968930e-03
37070503912,-1.246755828857421875e+02,1.145058917999267578e+01,-3.210815811157226562e+01,9.991036812555359470e-01,-5.862407129880195175e-03,-4.188166003022351230e-02,1.841965632970317965e-03
37170604013,-1.279613189697265625e+02,1.184787464141845703e+01,-3.284051132202148438e+01,9.991038819601925081e-01,-5.189570019355623995e-03,-4.196780828413731318e-02,1.790106955953531470e-03
37270704113,-1.313003387451171875e+02,1.223921012878417969e+01,-3.359504699707031250e+01,9.991058861289506821e-01,-4.325364059340080537e-03,-4.202299751700432073e-02,1.669493313596588126e-03
37370804213,-1.346914367675781250e+02,1.262089920043945312e+01,-3.437364196777343750e+01,9.991080412147191891e-01,-3.364282775563087399e-03,-4.206562267905848002e-02,1.512273161960958926e-03
37470904313,-1.381451110839843750e+02,1.295889854431152344e+01,-3.516660308837890625e+01,9.990596785142461522e-01,-4.756129819067519970e-03,-4.294187581554185368e-02,3.623989182910664249e-03
